Cost,Mahalanobis,10-LOF,Time,Alpha
TLPS,0.5576669357317305,1.3385153707929085,5.746999979019165,0.0
MAD,0.5576669357317305,1.3385153707929085,1.3819999694824219,0.0
PCC,0.30173924134292684,1.4221212028375478,1.0500001907348633,0.0
DACE,0.30173924134292684,1.4221212028375478,600.0620000362396,1.0
TLPS,2.974565647742016,1.138415385286681,133.80100011825562,0.0
MAD,3.759406019503865,1.0642585553616613,119.55400013923645,0.0
PCC,3.715461866098377,1.1616178754665787,208.89800000190735,0.0
DACE,3.570656066125897,1.0600893415072636,600.0350000858307,1.0
TLPS,0.6259246447145016,1.056816570319475,51.151000022888184,0.0
MAD,0.7250444133644316,0.9767041241378536,53.54299998283386,0.0
PCC,0.6638891997415305,0.9893074782002931,39.79699993133545,0.0
DACE,0.7806582683649912,0.992707160255964,600.0610001087189,1.0
TLPS,1.2253464680408166,1.2781375641507604,51.193000078201294,0.0
MAD,1.2253464680408166,1.2781375641507604,80.23699998855591,0.0
PCC,1.2253464680408166,1.2781375641507604,64.66300010681152,0.0
DACE,1.2993887489063918,1.4753612984925044,600.0590000152588,1.0
TLPS,2.5043717813835893,1.4132044903130552,82.12600016593933,0.0
MAD,2.7883346786586527,1.3869274751607235,40.39299988746643,0.0
PCC,2.5043717813835893,1.4132044903130552,78.99399995803833,0.0
DACE,2.22580708906062,1.2919355825605703,600.0510001182556,1.0
TLPS,0.5424034714910352,0.9495308215823609,57.38199996948242,0.0
MAD,0.5424034714910352,0.9495308215823609,7.519999980926514,0.0
PCC,0.9194385491981458,0.9415966688305373,27.050999879837036,0.0
DACE,0.9683235235592703,1.0181073156838436,600.1080000400543,1.0
TLPS,0.25499788681305285,1.1114375409218291,2.1029999256134033,0.0
MAD,0.25499788681305285,1.1114375409218291,22.825000047683716,0.0
PCC,0.30173924134292684,1.109159562166559,1.2549998760223389,0.0
DACE,0.4021052830191457,1.142881494329358,411.63100004196167,1.0
TLPS,3.1923777407822334,1.3996983432146135,264.93099999427795,0.0
MAD,4.651774613042758,1.350307445460906,48.21900010108948,0.0
PCC,3.6312349561099633,1.6065041523408232,79.25099992752075,0.0
DACE,5.431689317863959,1.4540424288697675,600.0780000686646,1.0
TLPS,1.7073586045060822,1.286537394479689,15.46999979019165,0.0
MAD,1.6951284855941522,1.4003071084255274,90.4909999370575,0.0
PCC,4.486889462840903,1.5394233979029677,37.384000062942505,0.0
DACE,1.5683751441643383,1.415371887768219,600.0460000038147,1.0
TLPS,1.3012228500407046,1.1587785284046086,3.3450000286102295,0.0
MAD,1.3012228500407046,1.1587785284046086,44.020999908447266,0.0
