Applicant,Cost,Mahalanobis,10-LOF,Utility,Best,Time,Alpha
1,TLPS,3.8783976359317047,1.130157481813043,6.736295927013898,true,8.408999919891357,0.0
1,TLPS,3.9465262252912185,1.1296367476934763,7.737948304123182,false,8.408999919891357,0.0
1,MAD,6.588559553091517,1.1338026206500091,6.5043229306721235,false,1.0899999141693115,0.0
1,MAD,6.558525396455497,1.134789274771293,8.699298617030685,true,1.0899999141693115,0.0
1,PCC,9.657355873854007,1.1524394207187076,4.309347244313562,false,0.5,0.0
1,PCC,9.65888152203807,1.1521105360116128,5.50267055356284,false,0.5,0.0
1,PCC,9.65776979156017,1.152713491307953,6.994022254975653,true,0.5,0.0
1,PCC,9.663871950579045,1.1524942348365568,7.995674632084937,false,0.5,0.0
2,TLPS,2.166946288471964,1.2385187875081476,8.69807156284343,false,2.865000009536743,0.0
2,TLPS,2.518135744549463,1.4696094220947278,11.077215676403734,false,2.865000009536743,0.0
2,TLPS,1.8361389278187983,1.0972699018988235,12.458642662472192,true,2.865000009536743,0.0
2,TLPS,6.751022568948798,0.9872330959290361,14.033004693658384,false,2.865000009536743,0.0
2,TLPS,27.54517422765934,1.019386021133517,17.216930889710664,false,2.865000009536743,0.0
2,MAD,3.3091778836492374,1.0409574120990344,3.045395135242748,false,1.8900001049041748,0.0
2,MAD,3.3085160578426684,1.0557787399402119,4.970483743992248,false,1.8900001049041748,0.0
2,MAD,3.2758838559388748,1.056267130706924,6.89557235285961,false,1.8900001049041748,0.0
2,MAD,3.3189502448536694,1.0408363142148904,9.274716466419914,true,1.8900001049041748,0.0
2,MAD,3.3070415192223024,0.9892498564705358,11.653860580098094,false,1.8900001049041748,0.0
2,MAD,3.0969436263995798,1.0822719446859215,14.83778677615036,false,1.8900001049041748,0.0
2,MAD,25.14942999365138,1.0067092405869476,17.216930889710664,false,1.8900001049041748,0.0
2,PCC,6.414657487705843,0.9872330959290363,2.240613052750774,false,0.554999828338623,0.0
2,PCC,6.413712437765229,0.9872330959290363,6.54484577517844,false,0.554999828338623,0.0
2,PCC,6.416208465698745,0.9872330959290363,8.469934383927939,false,0.554999828338623,0.0
2,PCC,6.698290529690889,0.9872330959290363,10.849078497606106,true,0.554999828338623,0.0
2,PCC,6.5657519932047155,0.9872330959290363,14.033004693658388,false,0.554999828338623,0.0
2,PCC,21.331726179667903,1.0041162627478768,17.216930889710664,false,0.554999828338623,0.0
3,TLPS,1.2207258600937234,1.1997736182454788,9.034687557352193,false,1.3429999351501465,0.0
3,TLPS,1.468185173983467,1.248129811645265,10.65055025149108,true,1.3429999351501465,0.0
3,TLPS,0.9388866761196906,1.1946003599478703,11.819398566927402,false,1.3429999351501465,0.0
3,TLPS,1.2453734267907073,1.2538450943333197,13.43526126106629,false,1.3429999351501465,0.0
3,MAD,3.1822135891213685,1.292707668735982,2.382585208882225,false,0.9700000286102295,0.0
3,MAD,3.1811925276322026,1.2956677149184184,4.61542018927729,false,0.9700000286102295,0.0
3,MAD,3.1817248863345173,1.296777732236832,5.741400524148798,true,0.9700000286102295,0.0
3,MAD,3.1824657691012,1.3121329718082209,7.974235504543863,false,0.9700000286102295,0.0
3,MAD,3.1827065158545023,1.3132429891266346,9.10021583941537,false,0.9700000286102295,0.0
3,MAD,3.1837946981487253,1.2956677149184184,11.333050819810419,false,0.9700000286102295,0.0
3,MAD,1.2777821229722353,1.4056802416457204,13.43526126106629,false,0.9700000286102295,0.0
3,PCC,3.246760801731475,1.3063978823297502,1.83070917970208,false,0.6579999923706055,0.0
3,PCC,3.3223061841984274,1.2938176860543957,4.61542018927729,false,0.6579999923706055,0.0
3,PCC,3.325937557107497,1.3045478534657273,5.741400524148798,false,0.6579999923706055,0.0
3,PCC,3.350447914821349,1.2951127062592116,7.974235504543863,false,0.6579999923706055,0.0
3,PCC,3.353830027015501,1.3058428736705434,9.10021583941537,true,0.6579999923706055,0.0
3,PCC,3.534479139612448,1.2947427004864072,11.333050819810435,false,0.6579999923706055,0.0
3,PCC,6.30550288178297,1.3496885577478823,13.43526126106629,false,0.6579999923706055,0.0
4,TLPS,0.7553834319167236,0.9499578969144069,3.1802405873734525,false,1.3650000095367432,0.0
4,TLPS,0.8007824023043578,1.0016314010412597,4.290487071921691,true,1.3650000095367432,0.0
4,TLPS,3.3811322207423693,1.0356318505442874,5.369959095493679,false,1.3650000095367432,0.0
4,MAD,0.9328495831617915,0.9390330960686024,1.8330603349548436,false,1.5450000762939453,0.0
4,MAD,0.77510938020232,1.0239921089092752,2.9433068195030825,false,1.5450000762939453,0.0
4,MAD,0.5735390097195664,0.9536653300590434,4.139988205462453,true,1.5450000762939453,0.0
4,MAD,1.2080751157315277,1.007986233302898,5.369959095399681,false,1.5450000762939453,0.0
4,PCC,3.246760801731475,1.0227818057592013,2.7602289809764695,false,0.42799997329711914,0.0
4,PCC,3.3217858551825827,1.0242946846967933,4.44279044956605,true,0.42799997329711914,0.0
4,PCC,3.2756267200898144,1.0223279420779237,5.520457961858942,false,0.42799997329711914,0.0
5,TLPS,3.3011804220236205,1.1729852992219532,7.86812545901979,true,0.6549999713897705,0.0
5,TLPS,3.31240796817825,1.0953582052901367,11.318325800517036,false,0.6549999713897705,0.0
5,MAD,3.365037934480737,1.1213887799272242,5.20904407262582,false,1.2249999046325684,0.0
5,MAD,3.3658781719548747,1.1216833009462466,6.491491706464484,true,1.2249999046325684,0.0
5,MAD,3.300268433261407,1.1265065324382335,7.773939340303014,false,1.2249999046325684,0.0
