Applicant,Cost,Mahalanobis,10-LOF,Utility,Best,Time,Alpha
1,TLPS,0.07379945279616135,1.0338528629926698,-1.0,true,3.993000030517578,0.0
1,MAD,0.07379945279616135,1.0338528629926698,-1.0,true,0.2929999828338623,0.0
1,PCC,8.378890867999992,1.0041873307952243,-1.0,true,0.2720000743865967,0.0
1,DACE,0.07379945279616135,1.0338528629926698,-1.0,true,76.95300006866455,0.01
2,TLPS,0.7291217293173198,1.013906848130403,-1.0,true,1.932999849319458,0.0
2,MAD,5.80794990259007,1.5635574388563127,-1.0,true,1.0520000457763672,0.0
2,PCC,6.797552121947423,1.5635582812148807,-1.0,true,1.0049998760223389,0.0
2,DACE,3.7327977405195427,0.9505607878367499,-1.0,true,330.9539999961853,0.01
3,TLPS,2.179093357252375,1.502008579024702,-1.0,true,1.2579998970031738,0.0
3,MAD,5.627897763182916,1.501988354311118,-1.0,true,0.8009998798370361,0.0
3,PCC,8.378890867999992,1.5020186913814937,-1.0,true,0.8169999122619629,0.0
3,DACE,0.6836718416381725,1.0097681286180333,-1.0,true,24.460000038146973,0.01
4,TLPS,4.476910952762845,9.28986461928143,-1.0,true,1.571000099182129,0.0
4,MAD,3.5909576394335407,9.289591854438651,-1.0,true,1.8510000705718994,0.0
4,PCC,6.918944587121329,9.289591854438651,-1.0,true,1.8369998931884766,0.0
4,DACE,5.363947386697824,1.0132930118694037,-1.0,true,163.27800011634827,0.01
5,TLPS,0.27710093315546525,1.0940616614965604,-1.0,true,0.4719998836517334,0.0
5,MAD,0.27710093315546525,1.0940616614965604,-1.0,true,0.502000093460083,0.0
5,PCC,7.741745661778765,0.9816507539821689,-1.0,true,0.5649998188018799,0.0
5,DACE,1.159811424451452,1.0877334513930923,-1.0,true,6.8440001010894775,0.01
6,TLPS,2.082284164075742,1.2560182169166325,-1.0,true,2.63700008392334,0.0
6,MAD,5.905558586488296,1.2580423816975257,-1.0,true,1.260000228881836,0.0
6,PCC,11.845665821920289,1.2580583619457957,-1.0,true,1.5239999294281006,0.0
6,DACE,1.8557730140840374,0.9505607878367499,-1.0,true,201.50699996948242,0.01
