Cost,Mahalanobis,10-LOF,Time,Alpha
TLPS,3.8783976359317047,1.130157481813043,3.796999931335449,0.0
MAD,9.657355873854007,1.1524394207187076,0.06999993324279785,0.0
PCC,9.657355873854007,1.1524394207187076,0.04699993133544922,0.0
DACE,3.1497668572563313,2.6596852237372706,123.4359998703003,1.0
TLPS,2.166946288471964,1.2385187875081476,0.11399984359741211,0.0
MAD,3.3091778836492374,1.0409574120990344,0.06699991226196289,0.0
PCC,6.414657487705843,0.9872330959290363,0.03600001335144043,0.0
DACE,1.1176216897879114,0.9862973580242993,39.35199999809265,1.0
TLPS,1.2207258600937234,1.1997736182454788,0.09399986267089844,0.0
MAD,3.1816960040239968,1.2915976514175682,0.031999826431274414,0.0
PCC,3.2474644391527576,1.293447680281591,0.031999826431274414,0.0
DACE,0.7273703283032197,1.4025353775988276,179.25200009346008,1.0
TLPS,0.7553834319167236,0.9499578969144069,0.15700006484985352,0.0
MAD,0.9294448928862175,0.961702468545672,0.06299996376037598,0.0
PCC,3.2474644391527576,1.022630517865442,0.04700016975402832,0.0
DACE,0.8665076774551028,1.0625244832229659,182.70499992370605,1.0
TLPS,3.3011804220236205,1.1729852992219532,0.11100006103515625,0.0
MAD,3.365037934480737,1.1213887799272242,0.09500002861022949,0.0
PCC,6.414657487705843,1.1119340617448088,0.04699993133544922,0.0
DACE,1.4686046607679593,1.3547966219378453,123.4449999332428,1.0
TLPS,13.035089563821161,1.6926484925692549,0.11899995803833008,0.0
MAD,12.729925837698355,1.67959545091377,0.04699993133544922,0.0
PCC,12.917566327336862,1.7377775355547123,0.03699994087219238,0.0
DACE,3.144611220518487,1.5338689857248184,103.37999987602234,1.0
TLPS,1.507957808052846,1.1659287805508431,0.06299996376037598,0.0
MAD,3.1816960040239968,1.169512239178069,0.03900003433227539,0.0
PCC,3.2474644391527576,1.168987519710854,0.032000064849853516,0.0
DACE,0.8731801537906582,1.073285896451185,69.06599998474121,1.0
TLPS,3.331473637853092,1.0781363178012258,0.09399986267089844,0.0
MAD,3.4294789670361436,1.4506374483840332,0.031999826431274414,0.0
PCC,6.414657487705843,1.3911815863917112,0.02500009536743164,0.0
DACE,1.388447150334849,1.2903607158682169,85.4760000705719,1.0
TLPS,6.467704508412549,1.261309399011885,0.15000009536743164,0.0
MAD,6.487219862060596,1.312245860577262,0.04700016975402832,0.0
PCC,9.657355873854007,1.302678622209408,0.03099989891052246,0.0
DACE,2.541142940605602,1.4468855932840001,84.44799995422363,1.0
TLPS,0.7955429981928439,1.1798304708657406,0.07200002670288086,0.0
MAD,0.5576669357317305,1.1638859996956081,0.06299996376037598,0.0
PCC,3.2474644391527576,1.182367091279171,0.04699993133544922,0.0
DACE,0.44235960493774035,1.166046724811177,76.48099994659424,1.0
TLPS,9.775177336375052,1.133919653091596,0.07799983024597168,0.0
MAD,9.54508801207199,1.1202313168868807,0.05500006675720215,0.0
PCC,9.60180098142862,1.1273061346977418,0.04799985885620117,0.0
DACE,2.4884384302090363,0.9921126204991172,74.3899998664856,1.0
TLPS,3.188048645329617,1.6180083182833986,0.07800006866455078,0.0
MAD,3.201069931964579,1.5635626209495181,0.03900003433227539,0.0
PCC,6.414657487705843,1.5913426624254308,0.03099989891052246,0.0
DACE,1.223852503400617,2.2716996251639734,500.5369999408722,1.0
TLPS,6.862941190682863,1.1842909913583641,0.11500000953674316,0.0
MAD,9.843321042287373,1.2833196173718624,0.13099980354309082,0.0
PCC,9.833315142912937,1.2617708394828029,0.04399991035461426,0.0
DACE,2.770727003563225,1.0770269320473516,38.33500003814697,1.0
TLPS,9.848784711215082,1.286303671793723,0.12299990653991699,0.0
MAD,9.779015166484749,1.302642212102939,0.06699991226196289,0.0
PCC,9.773703709277616,1.296830516556708,0.03699994087219238,0.0
DACE,2.54257741330865,1.1789277647653948,92.62000012397766,1.0
TLPS,1.2253464680408166,1.1216074798830598,0.10500001907348633,0.0
MAD,1.115333871463461,1.1225804288662233,0.03699994087219238,0.0
PCC,3.2474644391527576,1.1212426240143736,0.03400015830993652,0.0
DACE,0.8700915579547849,1.1239166475822515,58.151999950408936,1.0
TLPS,1.6877438147370425,1.4631491164805581,0.07599997520446777,0.0
MAD,3.2474644391527576,1.0961000335253746,0.03299999237060547,0.0
PCC,3.2474644391527576,1.0961000335253746,0.03299999237060547,0.0
DACE,0.6310989386550564,1.0872480445058983,93.17499995231628,1.0
TLPS,6.691156252668021,1.5176017279733558,0.11599993705749512,0.0
MAD,9.753638487240094,1.1217289240920816,0.07300019264221191,0.0
PCC,9.749331863417012,1.1265004730571482,0.03600001335144043,0.0
DACE,2.403551251036691,1.1808608398804825,99.08599996566772,1.0
TLPS,0.3578462619777037,1.2779600000418991,0.08699989318847656,0.0
MAD,0.3578462619777037,1.2779600000418991,0.04500007629394531,0.0
PCC,3.2474644391527576,1.272221517778577,0.039999961853027344,0.0
DACE,0.4407307190011339,1.2891314523141724,49.789000034332275,1.0
TLPS,9.818625354371981,1.0876350277428823,0.10800004005432129,0.0
MAD,9.557938028668449,1.0158562511337135,0.05099987983703613,0.0
PCC,12.829314975411686,1.0305387756563948,0.04200005531311035,0.0
DACE,4.4075940604979,1.0146205931293293,64.43699979782104,1.0
TLPS,19.63008622528871,1.2969006113451687,0.11599993705749512,0.0
MAD,22.739448062782003,1.312397939902373,0.07200002670288086,0.0
PCC,19.59096355800812,1.2724249963073493,0.07999992370605469,0.0
DACE,4.719349463021419,1.6336630548628155,48.48399996757507,1.0
TLPS,0.9465719659222115,1.0163107928931847,0.03299999237060547,0.0
MAD,0.743555914308974,1.0208365801789572,0.10500001907348633,0.0
PCC,3.2474644391527576,1.016129761401754,0.04199981689453125,0.0
DACE,0.3621208447369481,0.9993071877683954,40.805999994277954,1.0
TLPS,3.493905856653686,1.0016138841401285,0.10400009155273438,0.0
MAD,3.426271031589793,1.0142593459203482,0.03900003433227539,0.0
PCC,6.414657487705843,0.9993542285532799,0.03500008583068848,0.0
DACE,1.5053102762099952,1.1811513070865183,168.23599982261658,1.0
TLPS,16.25804184728468,1.0442801243239015,0.16200017929077148,0.0
MAD,16.171390174746833,1.0404268896110784,0.07599997520446777,0.0
PCC,16.179102220985328,1.0480263247391464,0.037000179290771484,0.0
DACE,4.074481292638352,1.46103176315429,44.519999980926514,1.0
TLPS,3.207099849658223,1.0060239688244477,0.0839998722076416,0.0
MAD,3.201069931964579,1.045906015000016,0.039999961853027344,0.0
PCC,6.414657487705843,1.0468307771706615,0.03600001335144043,0.0
DACE,1.0778036613506947,1.0271703618572074,77.08899998664856,1.0
TLPS,3.426922476689771,1.0887595629791937,0.07399988174438477,0.0
MAD,6.3633920080479935,1.1044694048293155,0.03900003433227539,0.0
PCC,6.432323290852351,1.1084856572105124,0.039999961853027344,0.0
DACE,2.2053108162221218,1.0343150577445919,96.2979998588562,1.0
TLPS,1.5650235341399499,1.0686329630073383,0.11899995803833008,0.0
MAD,3.299079804818304,1.112289146941243,0.056999921798706055,0.0
PCC,3.437399522709122,1.1293522099570814,0.046000003814697266,0.0
DACE,1.0200337920477685,1.2994293850321061,265.1490001678467,1.0
TLPS,12.993126374479987,1.1974654852113085,0.06800007820129395,0.0
MAD,9.601165636228028,1.1907084942878805,0.08999991416931152,0.0
PCC,12.829314975411686,1.1953539255477375,0.03500008583068848,0.0
DACE,2.787362745840647,1.1772707021602922,54.24000000953674,1.0
TLPS,16.309432179743084,1.031684513882871,0.09500002861022949,0.0
MAD,19.397466087247576,1.0695562795880487,0.0710000991821289,0.0
PCC,19.395835754023206,1.073958294707331,0.054000139236450195,0.0
DACE,4.169988381213804,1.1714322006166862,39.81699991226196,1.0
TLPS,16.300574735446926,1.159553630049699,0.11400008201599121,0.0
MAD,16.195629594017863,1.1415319524244674,0.08100008964538574,0.0
PCC,16.172739121068012,1.1483729829096627,0.06299996376037598,0.0
DACE,4.091199970711503,1.0876139006434762,42.593000173568726,1.0
TLPS,3.1816960040239968,1.1388175121462125,0.06199979782104492,0.0
MAD,3.1816960040239968,1.1388175121462125,0.031999826431274414,0.0
PCC,3.1816960040239968,1.1388175121462125,0.031999826431274414,0.0
DACE,0.9937496908165513,1.1150402759089744,73.20500016212463,1.0
TLPS,0.9819886701281629,1.4271532038194994,0.2720000743865967,0.0
MAD,1.3012228500407046,1.2200983411802164,0.037000179290771484,0.0
PCC,3.2474644391527576,1.186332044165342,0.03399991989135742,0.0
DACE,0.8751864925827808,1.1723864992706414,154.27300000190735,1.0
TLPS,16.313360545740274,1.4697277268668418,0.11500000953674316,0.0
MAD,16.12730794581972,1.717368090494085,0.11300015449523926,0.0
PCC,19.314711747708014,1.740221071429564,0.0409998893737793,0.0
DACE,4.424196269631024,2.1167132645211053,37.694000005722046,1.0
TLPS,2.103581563562776,1.3133082352218772,0.09200000762939453,0.0
MAD,3.2629657760211166,0.9917077618508058,0.056999921798706055,0.0
PCC,6.414657487705843,0.9700022542140159,0.03399991989135742,0.0
DACE,1.2516243336414767,1.1601982560109705,112.5920000076294,1.0
TLPS,13.732601150812615,1.13477764590777,0.20299983024597168,0.0
MAD,19.53949582325787,1.6747630762784205,0.08099985122680664,0.0
PCC,19.50824227292832,1.691122822730171,0.09100008010864258,0.0
DACE,5.63463332480551,1.3052150502659714,46.335999965667725,1.0
TLPS,3.7868437557279107,1.1350632478878695,0.14300012588500977,0.0
MAD,6.498739032076503,1.2022703489286433,0.04200005531311035,0.0
PCC,6.510805349819114,1.2196565231423444,0.03699994087219238,0.0
DACE,2.0247852494238323,1.1260451181053637,50.56400012969971,1.0
TLPS,3.4583802246082103,1.299117257468643,0.10299992561340332,0.0
MAD,6.494928878305515,1.3502223924687935,0.03600001335144043,0.0
PCC,6.494928878305515,1.3502223924687935,0.03299999237060547,0.0
DACE,1.402336527775275,1.24982198275555,198.7170000076294,1.0
TLPS,6.515617549616833,1.2243739920038643,0.08999991416931152,0.0
MAD,9.599220196446511,1.1984138142841365,0.05800008773803711,0.0
PCC,9.63750015090959,1.2143245926535822,0.04800009727478027,0.0
DACE,3.3462890035888266,1.428174417140141,86.56900000572205,1.0
TLPS,6.875065158233579,1.0740540031026335,0.12400007247924805,0.0
MAD,12.99326636409044,1.230400880324498,0.07699990272521973,0.0
PCC,12.993907119288094,1.249357681465005,0.04800009727478027,0.0
DACE,2.9393197554993526,1.4781106672332587,92.01399993896484,1.0
TLPS,9.722279130175066,1.2456440696902917,0.11600017547607422,0.0
MAD,9.707060326124632,1.0831369623454112,0.127000093460083,0.0
